good
30 30
0 0 2
0 1 2
0 2 1
0 3 2
0 4 1
0 5 0
0 6 2
0 7 2
0 8 2
0 9 0
0 10 2
0 11 1
0 12 0
0 13 2
0 14 2
0 15 2
0 16 2
0 17 2
0 18 2
0 19 1
0 20 2
0 21 2
0 22 0
0 23 3
0 24 0
0 25 0
0 26 2
0 27 1
0 28 0
0 29 3
1 0 0
1 1 1
1 2 2
1 3 1
1 4 1
1 5 0
1 6 3
1 7 0
1 8 1
1 9 1
1 10 1
1 11 1
1 12 2
1 13 0
1 14 1
1 15 0
1 16 3
1 17 0
1 18 1
1 19 2
1 20 2
1 21 1
1 22 1
1 23 0
1 24 3
1 25 1
1 26 1
1 27 1
1 28 0
1 29 1
2 0 1
2 1 0
2 2 1
2 3 1
2 4 2
2 5 3
2 6 0
2 7 3
2 8 1
2 9 1
2 10 2
2 11 2
2 12 1
2 13 1
2 14 1
2 15 0
2 16 2
2 17 3
2 18 0
2 19 2
2 20 3
2 21 1
2 22 0
2 23 3
2 24 1
2 25 1
2 26 1
2 27 1
2 28 3
2 29 1
3 0 3
3 1 1
3 2 3
3 3 2
3 4 2
3 5 2
3 6 3
3 7 0
3 8 3
3 9 2
3 10 1
3 11 1
3 12 1
3 13 3
3 14 1
3 15 1
3 16 0
3 17 3
3 18 2
3 19 1
3 20 0
3 21 3
3 22 1
3 23 2
3 24 1
3 25 1
3 26 2
3 27 1
3 28 0
3 29 1
4 0 0
4 1 3
4 2 0
4 3 2
4 4 0
4 5 2
4 6 1
4 7 1
4 8 2
4 9 0
4 10 3
4 11 2
4 12 2
4 13 2
4 14 3
4 15 1
4 16 0
4 17 2
4 18 1
4 19 2
4 20 3
4 21 1
4 22 2
4 23 2
4 24 1
4 25 2
4 26 1
4 27 2
4 28 3
4 29 1
5 0 1
5 1 0
5 2 3
5 3 0
5 4 3
5 5 2
5 6 1
5 7 2
5 8 1
5 9 2
5 10 2
5 11 2
5 12 1
5 13 1
5 14 0
5 15 3
5 16 1
5 17 0
5 18 2
5 19 3
5 20 0
5 21 2
5 22 1
5 23 0
5 24 2
5 25 3
5 26 1
5 27 0
5 28 1
5 29 1
6 0 0
6 1 3
6 2 1
6 3 1
6 4 0
6 5 1
6 6 2
6 7 1
6 8 2
6 9 1
6 10 0
6 11 2
6 12 3
6 13 0
6 14 3
6 15 1
6 16 1
6 17 2
6 18 1
6 19 0
6 20 3
6 21 1
6 22 2
6 23 3
6 24 0
6 25 2
6 26 3
6 27 1
6 28 2
6 29 3
7 0 2
7 1 1
7 2 1
7 3 2
7 4 3
7 5 1
7 6 2
7 7 2
7 8 1
7 9 2
7 10 3
7 11 0
7 12 3
7 13 1
7 14 0
7 15 3
7 16 1
7 17 0
7 18 3
7 19 1
7 20 0
7 21 2
7 22 2
7 23 3
7 24 1
7 25 2
7 26 1
7 27 1
7 28 0
7 29 1
8 0 1
8 1 2
8 2 1
8 3 0
8 4 1
8 5 2
8 6 1
8 7 2
8 8 2
8 9 2
8 10 3
8 11 0
8 12 1
8 13 1
8 14 0
8 15 2
8 16 3
8 17 2
8 18 2
8 19 2
8 20 3
8 21 0
8 22 2
8 23 1
8 24 2
8 25 1
8 26 0
8 27 3
8 28 1
8 29 1
9 0 0
9 1 1
9 2 2
9 3 3
9 4 2
9 5 1
9 6 2
9 7 1
9 8 0
9 9 2
9 10 1
9 11 1
9 12 2
9 13 3
9 14 2
9 15 2
9 16 1
9 17 2
9 18 0
9 19 1
9 20 0
9 21 3
9 22 1
9 23 2
9 24 2
9 25 3
9 26 1
9 27 0
9 28 3
9 29 1
10 0 1
10 1 2
10 2 2
10 3 3
10 4 0
10 5 3
10 6 0
10 7 3
10 8 1
10 9 0
10 10 1
10 11 2
10 12 2
10 13 2
10 14 2
10 15 1
10 16 2
10 17 1
10 18 3
10 19 1
10 20 1
10 21 2
10 22 1
10 23 0
10 24 0
10 25 3
10 26 1
10 27 2
10 28 3
10 29 1
11 0 0
11 1 1
11 2 0
11 3 2
11 4 3
11 5 0
11 6 3
11 7 0
11 8 3
11 9 1
11 10 2
11 11 3
11 12 0
11 13 2
11 14 1
11 15 1
11 16 1
11 17 2
11 18 0
11 19 3
11 20 2
11 21 1
11 22 1
11 23 1
11 24 2
11 25 1
11 26 2
11 27 2
11 28 1
11 29 1
12 0 1
12 1 2
12 2 3
12 3 2
12 4 1
12 5 2
12 6 2
12 7 3
12 8 0
12 9 3
12 10 0
12 11 2
12 12 3
12 13 1
12 14 2
12 15 3
12 16 0
12 17 3
12 18 1
12 19 0
12 20 2
12 21 3
12 22 1
12 23 2
12 24 1
12 25 0
12 26 2
12 27 1
12 28 2
12 29 1
13 0 1
13 1 2
13 2 0
13 3 2
13 4 2
13 5 1
13 6 0
13 7 3
13 8 2
13 9 1
13 10 2
13 11 1
13 12 0
13 13 1
13 14 0
13 15 2
13 16 1
13 17 0
13 18 3
13 19 1
13 20 0
13 21 2
13 22 1
13 23 0
13 24 3
13 25 1
13 26 1
13 27 2
13 28 1
13 29 1
14 0 2
14 1 1
14 2 0
14 3 2
14 4 1
14 5 2
14 6 3
14 7 0
14 8 2
14 9 3
14 10 0
14 11 3
14 12 1
14 13 1
14 14 2
14 15 1
14 16 2
14 17 2
14 18 3
14 19 1
14 20 2
14 21 1
14 22 1
14 23 1
14 24 1
14 25 1
14 26 0
14 27 2
14 28 3
14 29 1
15 0 1
15 1 1
15 2 1
15 3 1
15 4 2
15 5 2
15 6 1
15 7 2
15 8 2
15 9 1
15 10 1
15 11 0
15 12 1
15 13 2
15 14 1
15 15 2
15 16 1
15 17 0
15 18 1
15 19 1
15 20 1
15 21 1
15 22 1
15 23 1
15 24 1
15 25 1
15 26 2
15 27 1
15 28 0
15 29 3
16 0 1
16 1 1
16 2 2
16 3 2
16 4 1
16 5 0
16 6 2
16 7 1
16 8 1
16 9 1
16 10 1
16 11 1
16 12 2
16 13 1
16 14 0
16 15 3
16 16 1
16 17 1
16 18 2
16 19 3
16 20 1
16 21 1
16 22 1
16 23 2
16 24 1
16 25 1
16 26 2
16 27 3
16 28 1
16 29 1
17 0 1
17 1 1
17 2 0
17 3 2
17 4 3
17 5 2
17 6 1
17 7 2
17 8 3
17 9 1
17 10 1
17 11 3
17 12 0
17 13 3
17 14 3
17 15 0
17 16 3
17 17 1
17 18 2
17 19 2
17 20 0
17 21 3
17 22 2
17 23 2
17 24 3
17 25 2
17 26 1
17 27 0
17 28 3
17 29 1
18 0 1
18 1 1
18 2 1
18 3 0
18 4 2
18 5 2
18 6 3
18 7 0
18 8 2
18 9 1
18 10 2
18 11 1
18 12 0
18 13 2
18 14 1
18 15 2
18 16 1
18 17 2
18 18 2
18 19 1
18 20 2
18 21 2
18 22 2
18 23 2
18 24 2
18 25 3
18 26 1
18 27 2
18 28 2
18 29 1
19 0 1
19 1 1
19 2 1
19 3 2
19 4 2
19 5 2
19 6 1
19 7 1
19 8 1
19 9 1
19 10 0
19 11 3
19 12 2
19 13 3
19 14 2
19 15 2
19 16 2
19 17 1
19 18 1
19 19 2
19 20 1
19 21 0
19 22 1
19 23 0
19 24 0
19 25 2
19 26 3
19 27 0
19 28 1
19 29 1
20 0 1
20 1 1
20 2 1
20 3 0
20 4 2
20 5 1
20 6 1
20 7 1
20 8 2
20 9 3
20 10 1
20 11 0
20 12 2
20 13 1
20 14 0
20 15 2
20 16 1
20 17 2
20 18 1
20 19 0
20 20 3
20 21 1
20 22 2
20 23 3
20 24 3
20 25 0
20 26 2
20 27 3
20 28 1
20 29 1
21 0 1
21 1 1
21 2 1
21 3 1
21 4 0
21 5 3
21 6 1
21 7 1
21 8 0
21 9 1
21 10 2
21 11 3
21 12 1
21 13 2
21 14 3
21 15 1
21 16 2
21 17 1
21 18 3
21 19 1
21 20 0
21 21 2
21 22 1
21 23 0
21 24 1
21 25 2
21 26 1
21 27 1
21 28 2
21 29 3
22 0 0
22 1 3
22 2 2
22 3 3
22 4 2
22 5 1
22 6 1
22 7 2
22 8 3
22 9 2
22 10 2
22 11 2
22 12 0
22 13 1
22 14 2
22 15 2
22 16 1
22 17 1
22 18 0
22 19 3
22 20 1
22 21 1
